Year	Author Names	Conference
2015	Smart Generationsศรัณย์ เลิศหิรัญวงศ์;วราภรณ์	PERSON
2016	คุณเอกกมล;ก.ล.ต.;คุณเอกกมล;คุณเอกกมล;คุณเอกกมล;คุณเอกกมล;คุณเอกกมล;คุณเอกกมล;คุณเอกกมล;สังเกตุ;ดร.อัมพร;ดร.อัมพร;อ.ป๋วย;อ.ป๋วย;ดร.ประสาร;ดร.ประสาร;อ.ป๋วย;ป๋วย;ดร.ป๋วยดำรง;ดร.ป๋วย;ดร.ประสาร;อ.ป๋วย;คุณวรวรรณ;คุณวรวรรณ;คุณวรวรรณ;ป๋าเปรม;ฯพณฯ เปรม ติณสูลานนท์;คุณเชิดชู โสภณพนิช;คุณวรวรรณ;ดร.วิรไท สันติประภพ;คุณวรวรรณ;คุณวรวรรณ;เพชรพระอุมา;คุณ;คุณวรวรรณ;คุณวรวรรณ;วรวรรณ ธาราภูมิ;วรรณ ธาราภูมิ;คุณวรวรรณ;คุณวรวรรณ;พระบาทสมเด็จพระปรเมนทรมหาอานันทมหิดล;พระอัฐมรามาธิบดินทร;ดร.วิรไท;สมเด็จพระเทพรัตนราชสุดา ฯ สยามบรม-ราชกุมารี;พระบาทสมเด็จพระปรมินทรมหา;วิรไท;พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช;พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช;คุณวรวรรณ: สวัสดี;ดร.วิรไท สันติประภพ;คุณวรวรรณ;คุณวรวรรณ;ดร.วิรไท สันติประภw;คุณวรวรรณ ธาราภูมิ;คุณวรวรรณ;คุณวรวรรณ	PERSON
2017	คุณยุทธนา;คุณรุ่งโรจน์;ในหลวง รัชกาลที่ 9;คุณรุ่งโรจน์;คุณรุ่งโรจน์;คุณรุ่งโรจน์ ไทยนิยม;คุณเฉลิมพงษ์ พันภู;ดร.วิรไท สันติประภพ;คุณยุทธนา นามสง่า;คุณรุ่งโรจน์;นำโชค;ดร.ป๋วย อึ้งภากรณ์;คุณศรัณย์ทร ชุติมา;คุณสมหมายฮุนตระกูล;คุณหญิงสุภาพ ยศสุนทร;คุณวารี พงษ์เวช;คุณนุกูล;คุณกัทลี สมบัติศิริ;คุณสมหมาย;คุณสมหมายจะ ศรีสมวงศ์;เสนาะ อูนากูล	PERSON
2018	คุณปริญญ์;คุณปริญญ์;คุณปริ;คุณปริญญ์;คุณปริ;พระสยาม MAGAZINE;คุณแม่ไพ - ประไพ ตันติยุทธ;วรรษา ตันติยุทธ;ณัฏฐิรา เต็มบุญศักดิ์;ปัณฑารีย์ ไชยบุตรสกุล;เพ็ญศรี โต๊ะชื่นดี;เอมิลา โต๊ะชื่นดี;ณัฏฐิรา เต็มบุญศักดิ์;แตงโม;ปัณฑารีย์ไชยบุตรสกุล;ปัณฑารีย์ ไชยบุตรสกุล;นบ;มายด์;เอมิลาโต๊ะชื่นดี;ตันติยุทธ;เพ็ญศรี โต๊ะชื่นดี;OSSษา ตันติยุทร;คุณแม่	PERSON
2019	ดร.ป๋วย;กันย าย น	PERSON
2020	ดร.เศรษฐพุฒิ;ดร.เศรษฐพุฒิ;คุณรู้จักดร.เศรษฐพุฒิ สุทธิวาทนฤพุฒิ;โรเจอร์ เฟเดอ	PERSON
2021	ดร.ศุภชัย;ดร.ศุภชัย;ดร.ศุภชัย	PERSON
2022	คุณเจษฎา;blockchain;ลีโอนาร์โด ดิแคพรีโอ	PERSON
2012	Clickกอง;วังบางขุนพรหม;ฝนน;พระสยาม;เอเชียตะวันออก;ไทย;เชียงใหม่;ยุโรป;สหรัฐอเมริกา;ไทย;สหรัฐอเมริกา;ยุโรป;สหรัฐอเมริกา;ภูเก็ต;กัวลาลัมเปอร์;ไทย;อเมริกา;ยุโรป;ไทย	LOCATION
2013	สหรัฐอเมริกา;ไทย;ประเทศไทย	LOCATION
2014	ประเทศไทย;ญี่ปุ่น;เมืองไทย;ไทย;อังกฤษ;ไทย;ฝรั่งเศส;สหรัฐฯ;สหรัฐฯ	LOCATION
2015	สหรัฐฯ;สหรัฐฯ;ไทย;ไทย	LOCATION
2016	สหรัฐอเมริกา;สหราชอาณาจักร;ญี่ปุ่น;เกาหลีใต้;อิสราเอล;สวิตเซอร์แลนด์;เนเธอร์แลนด์;นอร์เวย์;อ.ป๋วย;สหรัฐอเมริกา;อ.ป๋วย;ไทย;แม่น้ำโขง;ไทย;ตลาดทุนไทย;ไทย;ประเทศไทย;ไทย;ประเทศไทย;ประเทศสหรัฐอเมริกา;จีน;สหราชอาณาจักร;สหรัฐอเมริกา	LOCATION
2017	สนามบินสุวรรณภูมิ;ทำเนียบรัฐบาล;พัทยา;ญี่ปุ่น;บน;วังบางขุนพรหม;ตึกไม้ข้าง ๆ;วังบางขุนพรหม;ประเทศไทย;ประเทศไทย;กรุงเทพฯ;ไทย;สหรัฐอเมริกา;แคนาดา;อิตาลี;ตุรกี;ตำหนักสมเด็จ;วังบางขุนพรหม;บางรัก	LOCATION
2018	ไทย;ไทย	LOCATION
2019		LOCATION
2020	ไทย;อังกฤษ;ฝรั่งเศส	LOCATION
2021	ไทย;ไทย	LOCATION
2022	ประเทศไทย	LOCATION
2012	ร่าง พ.ร.ก.;ร่าง พ.ร.ก.;มาตรา 71;มาตรา 72;มาตรา 7;ร่าง พ.ร.ก.;พ.ร.ก.	LAW
2013		LAW
2014		LAW
2015		LAW
2016	พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ พ.ศ. 2535	LAW
2017		LAW
2018		LAW
2019		LAW
2020		LAW
2021		LAW
2022		LAW
2012	เปรียบเสมือน;ทำเป็น;พูดถึง;มีโอกาส;ขยายตัว;เพื่อน;เปรียบเทียบ;ความคิดเห็น;ถอดรหัส;ได้ยิน;สร้าง;ได้รับ;พูดคุย;ย่างก้าว;ลูกโป่ง;สับสน;เข้าใจ;เหมือน;ดอกเบี้ย;ทำให้;มีความหมาย;อธิบาย;ดำเนิน;หดตัว;เหลือ;เติบโต;เข้าสู่;ทำให้เกิด;ว่าแต่;ยินดี;สื่อสาร;เหมาะสม;พร้อม;ยื่นมือ;ทำงาน;สอบถาม;เข้ามา;น่าเชื่อถือ;เข้มแข็ง;เรียก;ปรึกษาหารือ;ศึกษา;ปราศจาก;กลายเป็น;ดำเนินงาน;จัดการ;พัฒนา;ปล่อย;เกี่ยวข้อง;รวมกัน;มอบหมาย;พยายาม;กระจาย;ตั้งใจ;ระวัง;เสียหาย;เสนอแนะ;ได้ผล;ต่างกัน;ยังมี;ส่งเสริม;ดำเนินการ;แก้ปัญหา;มีบทบาท;เกี่ยวพัน;วิจัย;คิดถึง;มีประสิทธิภาพ;ผลักดัน;ทำงาน;ร่วมกับ;สังกัด;เข้ามา;เกี่ยว;เป็นประโยชน์;เกษตรและสหกรณ์;ตามมา;เงินกู้;ก้าวหน้า;ความเสียหาย;ให้การ;เงินสำรอง;ลงมือ;มีผลต่อ;กลายเป็น;ปรับปรุง;พัฒนา;ปล่อย;เหมาะกับ;ต่อให้;ชี้ให้เห็น;ขอให้;เกี่ยวข้อง;แข่งขัน;น้อยลง;เหลื่อมล้ำ;สัมผัส;สร้าง;ได้รับ;เป็นงาน;เสมอตัว;ทำได้;รวมถึง;กระจาย;บริการ;ปฏิบัติ;พยายาม;นับว่า;เกิดขึ้น;จริงใจ;พิจารณา;เสริม;เสียหาย;เลยเถิด;เข้าใจ;แตกต่าง;ทำให้;จดทะเบียน;เคล็ดลับ;เจริญ;ช่วยเหลือ;เติบโต;ดำเนิน;ปฏิบัติตาม;เจ้าบุญนายคุณ;ส่งเสริม;เพิ่ม;การผัน;ชักชวน;ความยั่งยืน;ใช้เวลา;หมายถึง;สนับสนุน;อาศัย;เหมาะสม;อ่อนแอ;กระตือรือร้น;ผลักดัน;ยื่นมือ;กระทบ;เพียงพอ;เปลี่ยนแปลง;พร้อม;มีประสิทธิภาพ;เข้ามา;เผชิญ;ปลื้มใจ;จำเป็น;เป็นธุระ;คุ้มค่า;ต้องการ;เรียก;เริ่ม;รู้สึก;มีความสำคัญ;เงินสำรอง;คาดไม่ถึง;ดำเนินงาน;เป็นการ;มีโอกาส;แก้ไข;บริหาร;อำนวย;ป้องกัน;เอาจริงเอาจัง;สร้าง;พยายาม;มีระบบ;เผื่อ;มั่นคง;เกิดขึ้น;ต้องกัน;มั่นใจ;เสียหาย;ประสบความสำเร็จ;เข้าใจ;แนะนำ;ตระหนัก;ดีกว่า;เงินสด;เชื่อ;เหมาะสม;วิกฤติ;เพียงพอ;เงินทุนสำรอง;เปลี่ยนแปลง;กำกับ;เป็นประโยชน์;ค้างชำระ;เป็นตัว;มีความสุข;ในอนาคต;มีโอกาส;เกี่ยวข้อง;พยายาม;ชำระคืน;แน่ใจ;เท่ากัน;เขียน;ชำระหนี้;คุ้มครอง;เข้าใจ;อธิบาย;บันทึก;จำกัด;การเปลี่ยนแปลง;เป็นคุณ;เสมอภาค;เพิ่มเติม;ใช้เวลา;หมายถึง;สถาบันการเงิน;เชียงใหม่;เจตนา;ประสบ;เสื่อมค่า;ยังอยู่;วันหยุด;เห็นแก่;เห็นพ้อง;น้อยกว่า;จัดการ;แก้ไข;มีโอกาส;พัฒนา;บริหาร;สัมฤทธิผล;แบงก์;แข่งขัน;ปรากฏ;สร้าง;ได้รับ;พิมพ์;ปฏิบัติ;ได้มา;ประโยชน์ส่วนตัว;มีความจำเป็น;กำหนด;เบาใจ;สอดคล้อง;ทำให้;เป็นธรรม;ผลเสีย;เห็นชอบ;ทำหนังสือ;ตอบรับ;กำหนดให้;เพิ่ม;บันทึก;ยังมี;เข้าสู่;ดำเนินการ;รับทราบ;ทำการ;เชื่อ;อนุมัติ;ติดต่อ;อาศัย;ต่ำกว่า;กระทบ;นึกถึง;เข้ามา;ประเด็น;ต่อเนื่อง;มาสู่;ต้มยำกุ้ง;ประกาศ;ก่อให้เกิด;ให้เหตุผล;เขียนจดหมาย;มีโอกาส;ท้วงติง;พัฒนา;คิดดอกเบี้ย;ขอให้;น้อยลง;ขาดดุล;กู้เงิน;ใช้จ่าย;เคารพ;สร้าง;ขออนุญาต;คำนึงถึง;ได้รับ;ปฏิบัติ;ปรึกษา;ทำหน้าที่แทน;เกิดขึ้น;ฟื้นฟู;หารือ;ส่งผล;เข้าใจ;ทำให้;บั่นทอน;เป็นสาเหตุ;เรียน;ดำเนิน;เติบโต;เข้าสู่;ทำให้เกิด;แก้ปัญหา;ยกตัว;เพิ่มเติม;สนับสนุน;อย่างหนึ่ง;น้ำท่วม;เดินหน้า;เท้าความ;มาจาก;คล้าย;เข้ามา;จ่ายคืน;ต้องการ;ประสบ;ต่อเนื่อง;ประกาศ;ควบคุม;อ้างอิง;ตกแต่ง;แก้ไข;ประสบปัญหา;รองรับ;ได้รับ;บังคับใช้;ตั้งใจ;บรรยาย;เกิดขึ้น;ประกอบ;กำหนด;อย่างนั้น;ต้องหา;ทำให้;คงอยู่;อธิบาย;เพิ่ม;กำหนดให้;ตำนาน;สินทรัพย์;ทำให้เกิด;จำยอม;รู้จัก;เพิ่มเติม;ละเลย;คิดเงิน;ต่ำกว่า;ถือเป็น;มาจาก;วิเคราะห์;คล้าย;หืดขึ้นคอ;เลือก;ทำตัว;จำเป็น;ต้องการ;กู้ยืม;เข้าไป;ศึกษา;ลงทุน;คล่องตัว;พัฒนา;เหมาะกับ;ขึ้นอยู่กับ;รองรับ;ความเห็น;เปรียบเทียบ;น่าสนใจ;สร้าง;กระจาย;เกิดขึ้น;รักษา;กลับมา;ทำให้;มีส่วนช่วย;เพิ่ม;ตอบแทน;เคลื่อนย้าย;ยังมี;ดำเนินการ;แข็งแกร่ง;ถือเป็น;เลือก;กล่าวถึง;ต้องการ;คาดคิด;เพิ่มขึ้น;ทำหน้าที่;มีประสบการณ์;เชื่อมโยง;มีโอกาส;บริหาร;ป้องกัน;ออกจาก;ใช้จ่าย;พยายาม;มีประโยชน์;สูบลม;ชำระเงิน;รวมถึง;ประทับใจ;ประสาน;หารือ;กำหนด;เขียน;เข้าให้;เก็บหอมรอมริบ;ทำให้;ยั่งยืน;เห็นชอบ;อธิบาย;เติบโต;ดำเนิน;บันทึก;เงินประจำปี;เสียภาษี;เชื่อ;อนุมัติ;เหมาะสม;พร้อม;ทำความเข้าใจ;ได้แก่	ACTION
2013	นำไปสู่;เชื่อมโยง;เปลี่ยนเป็น;มีโอกาส;การหารือ;บริหาร;ติดตาม;สร้าง;ดำรงตำแหน่ง;เป็นทางการ;รวมถึง;เปลี่ยนไป;ทั่วถึง;ช่วยดูแล;โฆษณาชวนเชื่อ;นำมาซึ่ง;เข้าใจ;สอดคล้อง;ทำให้;ร่วมมือ;ทดแทน;เรียน;ดำเนิน;ดำเนินการ;ชักชวน;ยึดถือ;เข้าใจผิด;อาศัย;แข็งแกร่ง;ทำงาน;ร่วมกับ;เกริ่น;สมควร;ถ่ายทอด;ขอให้;ต่อเนื่อง;เริ่ม;ควบคู่;มุ่งเน้น;พัฒนา;คู่บ้านคู่เมือง;เคารพ;สร้าง;ได้รับ;เจริญวัย;ตั้งใจ;มั่นคง;พิจารณา;ประสาน;สอดคล้อง;กล่าว;ทำให้;จำได้;เจริญ;แบ่งปัน;เรียน;ดำเนิน;ยังมี;ก่อปัญหา;ดำเนินการ;แก้ปัญหา;รับทราบ;ชักชวน;ท้าทาย;สนับสนุน;ทำงาน;สอดคล้องกัน;สุจริต;ครบรอบ;ตระหนักถึง;เอื้อ;เผชิญ;กล่าวถึง;ทุกฝ่าย;ต่อเนื่อง;เริ่ม;ประกาศ;เป็นช่วง;พัฒนา;ปล่อย;ยกตัวอย่าง;บริหาร;เป็นที่ยอมรับ;ชี้ให้เห็น;ประยุกต์;มาถึง;ออกกฎหมาย;กระตุ้น;สร้าง;ปรับตัว;รวมถึง;ปรึกษา;ยอมรับ;สมดุล;การฟื้น;เสริม;เตรียม;ตั้งคำถาม;ทำให้;เรียนรู้;เป็นแนว;เต็มที่;อธิบาย;ดำเนิน;เป็นหนึ่ง;ยังมี;ประมวล;ขัดกัน;แก้ปัญหา;แก้ไขปัญหา;โน้มน้าว;ทำให้เกิด;ยืนยัน;สนับสนุน;มีประสิทธิภาพ;ขับเคลื่อน;ผลักดัน;เข้ามา;หล่อเลี้ยง;กำกับ;เอื้ออำนวย;ความพร้อม;ต้องการ;เพิ่มขึ้น;ทำหน้าที่;ได้รับ;ทำงาน;กำกับ;บอกเล่า;คร่ำหวอด;เชื่อ;ถ่ายทอด;ออกแบบ;ประดับ;มีโอกาส;เป็นที่ยอมรับ;เรียก;เริ่มต้น	ACTION
